song_title,composer,milliseconds,bytes
Balls to the Wall,,342562,5510424
Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994
Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779
Princess of the Dawn,Deaffy & R.A. Smith-Diesel,375418,6290521
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451
Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",233926,7636561
Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424
Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245
C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314
Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840
Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347
Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038
Go Down,AC/DC,331180,10847611
Dog Eat Dog,AC/DC,215196,7032162
Let There Be Rock,AC/DC,366654,12021261
Bad Boy Boogie,AC/DC,267728,8776140
Problem Child,AC/DC,325041,10617116
Overdose,AC/DC,369319,12066294
Hell Ain't A Bad Place To Be,AC/DC,254380,8331286
Whole Lotta Rosie,AC/DC,323761,10547154
Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579
Love In An Elevator,"Steven Tyler, Joe Perry",321828,10552051
Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345
What It Takes,"Steven Tyler, Joe Perry, Desmond Child",310622,10144730
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264855,8679940
Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391
Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995
Amazing,"Steven Tyler, Richie Supa",356519,11616195
