awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
2001,Economic Sciences,10000000,12295082,A. Michael Spence,male,North America
1975,Physics,630000,3404179,Aage N. Bohr,male,Europe
2004,Chemistry,10000000,11762861,Aaron Ciechanover,male,Asia
1982,Chemistry,1150000,3102518,Aaron Klug,male,Europe
1979,Physics,800000,2988048,Abdus Salam,male,Asia
2019,Economic Sciences,9000000,9000000,Abhijit Banerjee,male,Asia
2019,Peace,9000000,9000000,Abiy Ahmed Ali,male,Africa
2009,Chemistry,10000000,10958504,Ada E. Yonath,female,Asia
2011,Physics,10000000,10545557,Adam G. Riess,male,North America
1939,Chemistry,148822,4227898,Adolf Butenandt,male,Europe
1905,Chemistry,138089,7615202,Adolf von Baeyer,male,Europe
1928,Chemistry,156939,4458494,Adolf Windaus,male,Europe
1980,Peace,880000,2889667,Adolfo Pérez Esquivel,male,South America
1999,Chemistry,7900000,10049186,Ahmed Zewail,male,Africa
2010,Chemistry,10000000,10819388,Akira Suzuki,male,Asia
2019,Chemistry,9000000,9000000,Akira Yoshino,male,Asia
2007,Peace,10000000,11301989,Al Gore,male,North America
2000,Chemistry,9000000,11333109,Alan Heeger,male,North America
1963,Physiology or Medicine,265000,2839286,Alan Hodgkin,male,Europe
2000,Chemistry,9000000,11333109,Alan MacDiarmid,male,Oceania
1907,Physics,138796,7033581,Albert A. Michelson,male,Europe
1957,Literature,208629,2697789,Albert Camus,male,Africa
1974,Physiology or Medicine,550000,3263449,Albert Claude,male,Europe
1921,Physics,121573,2532771,Albert Einstein,male,Europe
2007,Physics,10000000,11301989,Albert Fert,male,Europe
1902,Peace,141847,8059489,Albert Gobat,male,Europe
1960,Peace,225987,2664941,Albert Luthuli,male,Africa
1952,Peace,171135,2546652,Albert Schweitzer,male,Europe
1937,Physiology or Medicine,158463,4716161,Albert Szent-Györgyi,male,Europe
1910,Physiology or Medicine,140703,7130220,Albrecht Kossel,male,Europe
1964,Physics,273000,2828039,Aleksandr M. Prokhorov,male,Oceania
1970,Literature,400000,3177966,Alexandr Solzhenitsyn,male,Europe
2003,Physics,10000000,11807305,Alexei Abrikosov,male,Europe
1912,Physiology or Medicine,140476,6753654,Alexis Carrel,male,Europe
1982,Peace,1150000,3102518,Alfonso García Robles,male,North America
1969,Physiology or Medicine,375000,3181561,Alfred D. Hershey,male,North America
1911,Peace,140695,7327865,Alfred Fried,male,Europe
1994,Physiology or Medicine,7000000,9249471,Alfred G. Gilman,male,North America
1966,Physics,300000,2784653,Alfred Kastler,male,Europe
1913,Chemistry,143010,6875481,Alfred Werner,male,Europe
