Date,Temp,Rel_Hum,Abs_Hum
2004-10-03 18:00:00,13.6,48.9,0.7578
2004-10-03 18:30:00,13.3,47.7,0.7255
2004-10-03 19:00:00,11.9,54.0,0.7502
2004-10-03 19:30:00,11.0,60.0,0.7867
2004-10-03 20:00:00,11.2,59.6,0.7888
2004-10-03 20:30:00,11.2,59.2,0.7848
2004-10-03 21:00:00,11.3,56.8,0.7603
2004-10-03 21:30:00,10.7,60.0,0.7702
2004-10-03 22:00:00,10.7,59.7,0.7648
2004-10-03 22:30:00,10.3,60.2,0.7517
2004-10-03 23:00:00,10.1,60.5,0.7465
2004-10-03 23:30:00,11.0,56.2,0.7366
2004-10-04 00:00:00,10.5,58.1,0.7353
2004-10-04 00:30:00,10.2,59.6,0.7417
2004-10-04 01:00:00,10.8,57.4,0.7408
2004-10-04 01:30:00,10.5,60.6,0.7691
2004-10-04 02:00:00,10.8,58.4,0.7552
2004-10-04 02:30:00,10.5,57.9,0.7352
2004-10-04 03:00:00,9.5,66.8,0.7951
2004-10-04 03:30:00,8.3,76.4,0.8393
2004-10-04 04:00:00,8.0,81.1,0.8736
2004-10-04 04:30:00,8.3,79.8,0.8778
2004-10-04 05:00:00,9.7,71.2,0.8569
2004-10-04 05:30:00,9.8,67.6,0.8185
2004-10-04 06:00:00,10.3,64.2,0.8065
2004-10-04 06:30:00,9.7,69.3,0.8319
2004-10-04 07:00:00,9.6,67.8,0.8133
2004-10-04 07:30:00,9.1,64.0,0.7419
2004-10-04 08:00:00,8.2,63.4,0.6905
2004-10-04 08:30:00,8.2,60.8,0.6657
2004-10-04 09:00:00,8.3,58.5,0.6438
2004-10-04 09:30:00,7.7,59.7,0.6308
2004-10-04 10:00:00,7.1,61.8,0.6276
2004-10-04 10:30:00,7.0,62.3,0.6261
2004-10-04 11:00:00,6.1,65.9,0.6248
2004-10-04 11:30:00,6.3,65.0,0.6233
2004-10-04 12:00:00,6.8,62.9,0.6234
2004-10-04 12:30:00,6.4,65.1,0.6316
2004-10-04 13:00:00,7.3,63.1,0.6499
2004-10-04 13:30:00,9.2,56.2,0.6561
2004-10-04 14:00:00,13.2,41.7,0.632
2004-10-04 14:30:00,14.3,38.4,0.6243
2004-10-04 15:00:00,15.0,36.5,0.6195
2004-10-04 15:30:00,16.1,34.5,0.6262
2004-10-04 16:00:00,16.3,35.7,0.656
2004-10-04 16:30:00,15.8,37.0,0.661
2004-10-04 17:00:00,15.9,37.2,0.6657
2004-10-04 17:30:00,16.9,34.3,0.6549
2004-10-04 18:00:00,15.1,39.6,0.6766
2004-10-04 18:30:00,14.4,43.4,0.7084
2004-10-04 19:00:00,12.9,50.5,0.7478
2004-10-04 19:30:00,12.1,53.3,0.7536
2004-10-04 20:00:00,11.0,59.1,0.774
2004-10-04 20:30:00,9.7,64.6,0.7771
2004-10-04 21:00:00,9.5,64.1,0.7597
2004-10-04 21:30:00,9.1,63.9,0.7423
2004-10-04 22:00:00,8.8,63.9,0.7256
2004-10-04 22:30:00,7.8,67.5,0.7173
2004-10-04 23:00:00,7.0,71.1,0.7158
2004-10-04 23:30:00,8.3,63.6,0.6982
2004-10-05 00:00:00,7.2,67.5,0.6887
2004-10-05 00:30:00,6.3,71.9,0.6932
2004-10-05 01:00:00,6.5,71.6,0.6945
2004-10-05 01:30:00,9.6,59.7,0.7124
2004-10-05 02:00:00,12.4,51.2,0.7335
2004-10-05 02:30:00,15.6,42.2,0.7451
2004-10-05 03:00:00,18.4,33.8,0.709
2004-10-05 03:30:00,19.4,31.3,0.695
2004-10-05 04:00:00,18.0,34.8,0.7127
2004-10-05 04:30:00,18.4,33.6,0.7042
2004-10-05 05:00:00,17.6,35.1,0.7012
2004-10-05 05:30:00,16.7,37.8,0.7117
2004-10-05 06:00:00,16.1,41.0,0.7451
2004-10-05 06:30:00,15.8,42.4,0.7569
2004-10-05 07:00:00,15.7,44.1,0.7786
2004-10-05 07:30:00,15.3,46.8,0.8091
2004-10-05 08:00:00,14.6,48.6,0.806
2004-10-05 08:30:00,14.7,49.3,0.8193
2004-10-05 09:00:00,13.9,53.6,0.8498
2004-10-05 09:30:00,14.6,51.5,0.8536
2004-10-05 10:00:00,12.5,58.9,0.8537
2004-10-05 10:30:00,11.6,63.4,0.8674
2004-10-05 11:00:00,12.1,61.1,0.8603
2004-10-05 11:30:00,11.5,63.1,0.8533
2004-10-05 12:00:00,11.6,62.2,0.8473
2004-10-05 12:30:00,10.4,67.6,0.853
2004-10-05 13:00:00,11.6,62.7,0.853
2004-10-05 13:30:00,12.4,60.0,0.8627
2004-10-05 14:00:00,14.5,53.1,0.8728
2004-10-05 14:30:00,16.9,46.1,0.8789
2004-10-05 15:00:00,19.3,38.3,0.8474
2004-10-05 15:30:00,21.2,31.4,0.7812
2004-10-05 16:00:00,21.4,30.2,0.7616
2004-10-05 16:30:00,21.9,29.0,0.7525
2004-10-05 17:00:00,22.2,28.4,0.7516
2004-10-05 17:30:00,21.3,30.8,0.7696
2004-10-05 18:00:00,19.7,36.7,0.8307
2004-10-05 18:30:00,18.4,41.7,0.8732
2004-10-05 19:00:00,17.6,46.1,0.921
2004-10-05 19:30:00,16.7,49.6,0.932
2004-10-05 20:00:00,16.3,51.0,0.9341
2004-10-05 20:30:00,14.7,55.9,0.9314
2004-10-05 21:00:00,14.8,54.7,0.9164
2004-10-05 21:30:00,14.0,57.0,0.9094
2004-10-05 22:00:00,13.4,61.3,0.9361
2004-10-05 22:30:00,12.6,63.5,0.923
2004-10-05 23:00:00,12.3,65.4,0.9351
2004-10-05 23:30:00,11.9,67.4,0.9375
2004-10-06 00:00:00,11.4,70.5,0.9475
2004-10-06 00:30:00,11.3,70.2,0.9401
2004-10-06 01:00:00,12.4,63.9,0.917
2004-10-06 01:30:00,14.8,54.3,0.9076
2004-10-06 02:00:00,17.4,45.6,0.8993
2004-10-06 02:30:00,19.8,38.5,0.8801
2004-10-06 03:00:00,22.0,34.1,0.8904
2004-10-06 03:30:00,23.3,32.2,0.9096
2004-10-06 04:00:00,23.9,30.0,0.8757
2004-10-06 04:30:00,24.4,28.9,0.8736
2004-10-06 05:00:00,24.4,29.4,0.8848
2004-10-06 05:30:00,23.8,31.3,0.9137
2004-10-06 06:00:00,22.5,35.4,0.9547
2004-10-06 06:30:00,20.4,42.5,1.0086
2004-10-06 07:00:00,18.3,52.6,1.0945
2004-10-06 07:30:00,16.7,57.4,1.0786
2004-10-06 08:00:00,15.7,60.2,1.0654
2004-10-06 08:30:00,15.3,61.4,1.058
2004-10-06 09:00:00,14.1,65.7,1.0494
2004-10-06 09:30:00,14.8,60.6,1.0148
2004-10-06 10:00:00,14.8,59.2,0.9879
2004-10-06 10:30:00,13.6,62.1,0.9636
2004-10-06 11:00:00,12.3,66.2,0.945
2004-10-06 11:30:00,12.8,63.2,0.9283
2004-10-06 12:00:00,11.2,68.5,0.9081
2004-10-06 12:30:00,11.0,66.5,0.8705
2004-10-06 13:00:00,11.7,63.7,0.8719
2004-10-06 13:30:00,13.6,56.3,0.8743
2004-10-06 14:00:00,17.8,42.9,0.8672
2004-10-06 14:30:00,21.4,33.3,0.8417
2004-10-06 15:00:00,24.4,27.4,0.8231
2004-10-06 15:30:00,25.3,26.1,0.8264
2004-10-06 16:00:00,25.8,23.2,0.7589
2004-10-06 16:30:00,27.0,20.2,0.7094
2004-10-06 17:00:00,28.2,18.6,0.7014
2004-10-06 17:30:00,28.0,19.1,0.7098
2004-10-06 18:00:00,23.9,25.7,0.7519
2004-10-06 18:30:00,21.3,34.8,0.873
2004-10-06 19:00:00,20.4,36.7,0.8704
2004-10-06 19:30:00,19.0,41.3,0.9007
2004-10-06 20:00:00,17.9,45.9,0.9342
2004-10-06 20:30:00,16.7,48.9,0.9226
2004-10-06 21:00:00,15.5,52.9,0.9271
2004-10-06 21:30:00,15.5,51.9,0.9059
2004-10-06 22:00:00,14.1,55.6,0.891
2004-10-06 22:30:00,13.1,57.9,0.8666
2004-10-06 23:00:00,12.7,57.9,0.8447
2004-10-06 23:30:00,11.8,58.0,0.8026
2004-10-07 00:00:00,11.9,57.4,0.7978
2004-10-07 00:30:00,9.9,65.2,0.7956
2004-10-07 01:00:00,11.1,60.2,0.7958
2004-10-07 01:30:00,14.1,50.0,0.802
2004-10-07 02:00:00,17.7,40.1,0.8048
2004-10-07 02:30:00,21.1,33.4,0.8265
2004-10-07 03:00:00,24.3,28.3,0.8471
2004-10-07 03:30:00,25.6,25.6,0.8254
2004-10-07 04:00:00,25.9,25.9,0.8503
2004-10-07 04:30:00,26.8,18.7,0.65
2004-10-07 05:00:00,29.3,15.8,0.6309
2004-10-07 05:30:00,28.5,14.9,0.5708
2004-10-07 06:00:00,25.9,16.0,0.5237
2004-10-07 06:30:00,23.1,26.5,0.7403
2004-10-07 07:00:00,20.5,38.2,0.9133
2004-10-07 07:30:00,19.1,42.6,0.9294
2004-10-07 08:00:00,17.2,44.1,0.8558
2004-10-07 08:30:00,16.0,50.9,0.9206
2004-10-07 09:00:00,14.8,53.9,0.9024
2004-10-07 09:30:00,14.3,55.4,0.8975
2004-10-07 10:00:00,14.8,52.1,0.8686
2004-10-07 10:30:00,13.9,53.9,0.8501
2004-10-07 11:00:00,11.6,61.9,0.8442
2004-10-07 11:30:00,12.0,58.9,0.8233
2004-10-07 12:00:00,10.9,62.1,0.8113
2004-10-07 12:30:00,10.6,63.3,0.8067
2004-10-07 13:00:00,11.5,60.0,0.8117
2004-10-07 13:30:00,14.3,50.6,0.8186
2004-10-07 14:00:00,17.8,40.5,0.821
2004-10-07 14:30:00,20.8,34.4,0.8365
2004-10-07 15:00:00,23.8,28.2,0.8219
2004-10-07 15:30:00,24.2,28.7,0.8515
2004-10-07 16:00:00,25.2,24.9,0.7829
2004-10-07 16:30:00,27.0,17.8,0.6275
2004-10-07 17:00:00,27.1,23.1,0.818
2004-10-07 17:30:00,25.8,23.9,0.7832
2004-10-07 18:00:00,23.0,26.8,0.7446
2004-10-07 18:30:00,20.7,31.1,0.7523
2004-10-07 19:00:00,18.6,36.2,0.7676
2004-10-07 19:30:00,16.0,48.4,0.8768
2004-10-07 20:00:00,14.5,57.8,0.9456
2004-10-07 20:30:00,13.1,64.2,0.9606
2004-10-07 21:00:00,12.0,69.7,0.9735
2004-10-07 21:30:00,11.9,71.1,0.9915
2004-10-07 22:00:00,12.5,69.3,1.0029
2004-10-07 22:30:00,12.5,67.5,0.9768
2004-10-07 23:00:00,12.3,67.7,0.9665
2004-10-07 23:30:00,12.5,66.8,0.962
2004-10-08 00:00:00,12.3,66.3,0.9487
2004-10-08 00:30:00,12.4,64.9,0.9332
2004-10-08 01:00:00,13.0,61.6,0.9209
2004-10-08 01:30:00,13.6,58.8,0.912
2004-10-08 02:00:00,13.9,57.1,0.9032
2004-10-08 02:30:00,14.5,54.4,0.8917
2004-10-08 03:00:00,15.5,50.1,0.8744
2004-10-08 03:30:00,16.1,47.6,0.8655
