-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  9.6145   Longitude 41.9099 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1644.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
T2MDEW             MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UVA,T2MDEW
2021,1,1,15.64,8.24
2021,1,2,15.73,8.89
2021,1,3,15.65,8.05
2021,1,4,15.87,3.81
2021,1,5,15.87,5.65
2021,1,6,15.8,6.1
2021,1,7,15.75,3.58
2021,1,8,15.76,1.23
2021,1,9,15.48,4.96
2021,1,10,14.38,8.91
2021,1,11,13.67,10.45
2021,1,12,13.99,9.89
2021,1,13,15.71,7.15
2021,1,14,15.9,6.34
2021,1,15,15.89,6.81
2021,1,16,16.12,5.77
2021,1,17,16.17,1.96
2021,1,18,16.43,3.19
2021,1,19,15.86,6.69
2021,1,20,15.64,3.3
2021,1,21,16.29,3.15
2021,1,22,16.4,1.96
2021,1,23,16.42,3.76
2021,1,24,16.37,5.85
2021,1,25,16.72,3.77
2021,1,26,16.66,-0.45
2021,1,27,17.04,-0.06
2021,1,28,17.22,4.89
2021,1,29,16.84,5.82
2021,1,30,17.06,5.68
2021,1,31,16.92,4.19
2021,2,1,17.32,0.17
2021,2,2,17.16,-3.17
2021,2,3,16.85,-3.49
2021,2,4,17.36,-7.66
2021,2,5,16.93,-3.06
2021,2,6,16.55,4.71
2021,2,7,12.32,9.6
2021,2,8,10.71,10.56
2021,2,9,7.52,12.16
2021,2,10,15.59,7.05
2021,2,11,16.26,4.44
2021,2,12,16.77,7.09
2021,2,13,17.25,5.87
2021,2,14,17.52,5.19
2021,2,15,17.7,4.19
2021,2,16,17.88,3.51
2021,2,17,18.17,4.24
2021,2,18,14.48,9.56
2021,2,19,11.83,11.94
2021,2,20,12.52,11.43
2021,2,21,11.84,11.58
2021,2,22,14.67,11.32
2021,2,23,17.54,6.31
2021,2,24,18.4,-1.67
2021,2,25,18.37,2.88
2021,2,26,18.03,8.75
2021,2,27,18.2,7.52
2021,2,28,17.12,8.68
2021,3,1,16.48,9.94
2021,3,2,16.92,5.25
2021,3,3,18.92,3.3
2021,3,4,18.78,3.62
2021,3,5,17.34,6.94
2021,3,6,18.87,1.13
2021,3,7,19.2,-3.56
2021,3,8,19.02,-1.38
2021,3,9,18.83,4.43
2021,3,10,18.49,7.9
2021,3,11,18.58,8.37
2021,3,12,18.15,7.76
2021,3,13,18.04,5.15
2021,3,14,19.07,4.81
2021,3,15,17.52,6.79
2021,3,16,18.52,7.14
2021,3,17,16.7,9.33
2021,3,18,16.34,11.11
2021,3,19,17.52,11.62
2021,3,20,18.61,9.61
2021,3,21,19.57,1.87
2021,3,22,19.57,-5.34
2021,3,23,19.7,-1.39
2021,3,24,19.7,-3.35
2021,3,25,19.8,-4.46
2021,3,26,19.84,-2.18
2021,3,27,19.6,0.55
2021,3,28,19.38,-0.28
2021,3,29,18.81,3.76
2021,3,30,17.12,8.37
2021,3,31,16.53,7.66
