-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2023 through 07/31/2023 
Location: Latitude  -3.3679   Longitude 36.7024 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1201.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,T2M,WS50M,PRECTOTCORR,QV2M
2023,5,1,2,101.39,15.52,3.28,0.01,12.63
2023,5,1,3,102.74,15.33,3.26,0.01,12.57
2023,5,1,4,108.43,15.32,3.11,0.01,12.57
2023,5,1,5,114.32,15.38,3.21,0.01,12.63
2023,5,1,6,117.97,17.37,3.41,0.01,13.37
2023,5,1,7,118.04,18.8,4.07,0.0,12.94
2023,5,1,8,119.38,20.22,4.84,0.01,12.51
2023,5,1,9,121.99,21.46,5.25,0.01,12.7
2023,5,1,10,123.39,22.47,5.35,0.01,12.94
2023,5,1,11,124.04,23.12,5.26,0.02,13.12
2023,5,1,12,126.9,23.4,5.22,0.02,13.24
2023,5,1,13,130.66,23.41,5.32,0.01,13.31
2023,5,1,14,133.15,23.04,5.47,0.01,13.18
2023,5,1,15,134.2,22.19,5.57,0.01,13.06
2023,5,1,16,136.75,20.73,5.42,0.0,12.94
2023,5,1,17,142.17,18.49,4.83,0.0,13.31
2023,5,1,18,139.74,17.44,4.21,0.0,13.18
2023,5,1,19,132.71,17.05,3.59,0.0,13.0
2023,5,1,20,126.18,16.8,3.14,0.0,12.82
2023,5,1,21,122.46,16.58,2.82,0.0,12.7
2023,5,1,22,120.99,16.31,2.58,0.0,12.51
2023,5,1,23,120.22,15.89,2.47,0.0,12.45
2023,5,2,0,119.29,15.62,2.43,0.0,12.51
2023,5,2,1,119.2,15.44,2.43,0.01,12.7
2023,5,2,2,123.25,15.6,2.52,0.07,12.82
2023,5,2,3,133.83,15.69,2.71,0.14,12.94
2023,5,2,4,143.54,15.72,3.09,0.21,13.0
2023,5,2,5,144.96,15.85,3.32,0.19,13.0
2023,5,2,6,143.56,17.67,3.71,0.25,13.73
2023,5,2,7,140.75,19.13,4.52,0.26,14.04
2023,5,2,8,137.44,20.93,4.41,0.37,14.22
2023,5,2,9,135.36,22.23,4.36,0.37,14.22
2023,5,2,10,133.61,23.4,4.33,0.52,14.53
2023,5,2,11,131.46,24.32,4.38,0.58,14.71
2023,5,2,12,131.14,24.69,4.6,0.52,14.83
2023,5,2,13,132.29,24.72,4.9,0.45,14.83
2023,5,2,14,133.66,24.37,5.21,0.31,14.77
2023,5,2,15,135.0,23.72,5.6,0.17,14.77
2023,5,2,16,137.35,22.55,5.79,0.12,15.01
2023,5,2,17,140.23,20.56,6.18,0.14,15.01
2023,5,2,18,139.81,19.73,6.79,0.14,14.65
2023,5,2,19,139.22,19.33,7.14,0.11,14.53
2023,5,2,20,138.83,18.95,6.95,0.07,14.53
2023,5,2,21,140.42,18.45,6.2,0.06,14.53
2023,5,2,22,141.12,18.06,5.8,0.14,14.4
2023,5,2,23,137.56,17.85,5.81,0.2,14.22
2023,5,3,0,134.26,17.56,5.13,0.21,14.04
2023,5,3,1,135.0,17.33,5.08,0.23,13.92
2023,5,3,2,134.61,17.09,4.89,0.23,13.73
2023,5,3,3,132.87,16.87,4.9,0.19,13.61
2023,5,3,4,130.61,16.66,4.76,0.2,13.49
2023,5,3,5,126.77,16.55,4.52,0.18,13.37
2023,5,3,6,125.74,17.82,4.6,0.19,13.92
2023,5,3,7,129.04,19.05,5.48,0.17,14.28
2023,5,3,8,129.09,20.9,5.8,0.14,14.47
2023,5,3,9,128.25,22.66,5.83,0.06,14.4
2023,5,3,10,127.08,23.91,5.9,0.03,14.47
2023,5,3,11,126.59,24.72,5.82,0.05,14.53
2023,5,3,12,126.71,25.1,5.67,0.09,14.71
2023,5,3,13,126.85,25.05,5.58,0.13,14.77
2023,5,3,14,127.44,24.78,5.54,0.22,14.95
2023,5,3,15,128.57,24.36,5.73,0.21,15.08
2023,5,3,16,132.59,23.14,5.92,0.17,15.44
2023,5,3,17,135.79,21.12,6.4,0.24,15.56
2023,5,3,18,134.42,20.33,7.04,0.39,15.38
2023,5,3,19,133.72,19.91,7.19,0.53,15.44
2023,5,3,20,135.35,19.48,7.14,0.62,15.44
2023,5,3,21,137.62,19.05,7.0,0.65,15.2
2023,5,3,22,140.14,18.56,6.85,0.6,14.83
2023,5,3,23,142.77,18.11,6.7,0.52,14.4
2023,5,4,0,145.01,17.67,6.48,0.47,14.1
2023,5,4,1,146.59,17.32,6.24,0.39,13.73
2023,5,4,2,150.86,17.0,5.52,0.3,13.49
2023,5,4,3,153.43,16.67,4.93,0.22,13.24
2023,5,4,4,155.99,16.4,4.7,0.15,13.0
2023,5,4,5,152.72,16.21,5.34,0.12,12.76
2023,5,4,6,149.21,16.84,5.31,0.1,13.0
2023,5,4,7,146.07,18.01,6.13,0.07,13.18
2023,5,4,8,140.37,19.9,6.32,0.09,13.24
2023,5,4,9,134.64,21.83,6.09,0.07,13.43
2023,5,4,10,130.32,23.25,5.76,0.04,13.67
2023,5,4,11,128.69,24.29,5.47,0.03,13.92
2023,5,4,12,129.47,24.93,5.33,0.03,14.04
2023,5,4,13,131.0,25.19,5.3,0.03,14.04
2023,5,4,14,132.8,24.76,5.46,0.03,13.92
2023,5,4,15,135.11,24.07,5.81,0.03,13.98
2023,5,4,16,137.14,22.83,6.08,0.01,14.22
2023,5,4,17,138.06,20.46,6.72,0.01,14.28
2023,5,4,18,136.21,19.36,7.32,0.01,13.79
2023,5,4,19,135.0,18.77,7.27,0.01,13.55
2023,5,4,20,134.3,18.09,6.77,0.01,13.43
2023,5,4,21,134.84,17.47,5.93,0.0,13.31
2023,5,4,22,135.51,16.62,4.95,0.0,13.12
2023,5,4,23,135.93,16.01,4.4,0.01,12.94
2023,5,5,0,134.92,15.84,4.05,0.03,12.82
2023,5,5,1,132.19,15.62,3.72,0.05,12.57
2023,5,5,2,130.15,15.37,3.53,0.06,12.39
2023,5,5,3,127.63,15.1,3.4,0.07,12.21
2023,5,5,4,124.26,14.83,3.26,0.07,12.02
2023,5,5,5,121.6,14.73,3.03,0.07,11.9
2023,5,5,6,127.91,16.23,3.18,0.06,12.51
2023,5,5,7,134.85,17.98,4.26,0.01,12.82
2023,5,5,8,132.03,20.41,4.59,0.0,12.45
2023,5,5,9,127.31,22.46,4.46,0.0,12.39
2023,5,5,10,125.56,23.95,4.31,0.0,12.57
2023,5,5,11,127.02,25.02,4.22,0.0,12.7
2023,5,5,12,129.67,25.7,4.22,0.0,12.82
2023,5,5,13,132.77,25.96,4.26,0.0,12.88
2023,5,5,14,135.22,25.86,4.37,0.0,12.94
2023,5,5,15,136.62,25.28,4.7,0.0,13.18
2023,5,5,16,138.44,23.83,5.24,0.0,13.98
2023,5,5,17,139.19,21.01,6.12,0.0,14.4
2023,5,5,18,136.4,19.91,7.0,0.0,13.98
2023,5,5,19,135.39,19.38,7.28,0.0,13.85
2023,5,5,20,135.13,18.8,7.15,0.0,13.85
2023,5,5,21,134.68,18.33,6.83,0.01,13.85
2023,5,5,22,134.7,17.82,6.24,0.01,13.85
2023,5,5,23,136.76,17.26,5.39,0.06,13.85
2023,5,6,0,139.32,17.1,5.2,0.13,13.73
2023,5,6,1,142.59,16.75,4.48,0.14,13.49
2023,5,6,2,143.58,16.4,4.15,0.11,13.24
2023,5,6,3,143.57,16.08,3.89,0.09,12.94
2023,5,6,4,142.31,15.76,3.69,0.07,12.7
2023,5,6,5,138.18,15.57,3.59,0.07,12.57
2023,5,6,6,137.78,16.81,4.1,0.07,12.94
2023,5,6,7,136.24,18.37,5.35,0.11,13.37
2023,5,6,8,133.3,20.3,5.79,0.22,13.67
2023,5,6,9,130.18,22.3,5.72,0.16,14.04
2023,5,6,10,129.4,23.9,5.55,0.07,14.34
2023,5,6,11,130.63,24.93,5.36,0.03,14.47
2023,5,6,12,132.45,25.62,5.22,0.04,14.53
2023,5,6,13,134.44,25.87,5.13,0.03,14.59
2023,5,6,14,134.44,25.81,5.08,0.04,14.59
2023,5,6,15,134.32,25.18,5.14,0.02,14.59
2023,5,6,16,135.18,23.83,5.26,0.03,15.08
2023,5,6,17,135.0,21.32,5.78,0.03,15.32
2023,5,6,18,133.45,20.28,6.53,0.03,14.77
2023,5,6,19,132.1,19.79,6.98,0.06,14.65
2023,5,6,20,131.73,19.33,7.08,0.11,14.71
2023,5,6,21,132.18,18.94,6.85,0.17,14.83
2023,5,6,22,132.27,18.55,6.5,0.26,14.89
2023,5,6,23,133.56,18.36,6.16,0.47,14.83
2023,5,7,0,135.0,18.18,6.0,0.46,14.65
2023,5,7,1,135.95,17.97,5.65,0.43,14.47
2023,5,7,2,134.82,17.71,5.39,0.32,14.28
2023,5,7,3,133.97,17.38,4.91,0.27,14.04
2023,5,7,4,133.1,17.07,4.67,0.2,13.85
2023,5,7,5,130.63,16.94,4.5,0.19,13.67
2023,5,7,6,128.17,18.16,4.74,0.2,14.22
2023,5,7,7,129.54,19.33,5.46,0.33,14.59
2023,5,7,8,129.8,21.05,5.72,0.37,14.71
2023,5,7,9,129.62,22.96,5.83,0.39,14.83
2023,5,7,10,129.79,24.47,5.84,0.37,15.01
2023,5,7,11,130.21,25.51,5.69,0.32,15.2
2023,5,7,12,131.64,25.97,5.56,0.25,15.26
2023,5,7,13,133.62,26.18,5.51,0.24,15.2
2023,5,7,14,136.37,25.91,5.54,0.18,15.08
2023,5,7,15,137.95,25.22,5.69,0.13,15.01
2023,5,7,16,138.83,23.85,5.87,0.06,15.38
2023,5,7,17,138.42,21.44,6.38,0.09,15.44
2023,5,7,18,136.35,20.39,7.04,0.15,15.08
2023,5,7,19,135.04,19.92,7.22,0.21,15.01
2023,5,7,20,135.04,19.54,7.04,0.34,15.14
2023,5,7,21,136.03,19.1,6.75,0.56,15.2
2023,5,7,22,137.33,18.84,6.66,0.79,15.14
2023,5,7,23,139.48,18.58,6.65,0.86,14.89
2023,5,8,0,140.59,18.26,6.52,0.86,14.65
2023,5,8,1,139.58,17.91,6.01,0.65,14.34
2023,5,8,2,138.45,17.61,5.88,0.45,14.04
2023,5,8,3,138.77,17.38,5.71,0.36,13.85
2023,5,8,4,139.46,17.23,5.32,0.37,13.79
2023,5,8,5,138.78,17.19,5.61,0.4,13.73
2023,5,8,6,139.63,18.01,5.81,0.37,14.16
2023,5,8,7,139.65,18.98,7.22,0.37,14.28
2023,5,8,8,138.27,20.5,7.37,0.49,14.22
2023,5,8,9,135.18,22.32,7.06,0.5,14.22
2023,5,8,10,132.27,23.64,6.62,0.4,14.4
2023,5,8,11,129.92,24.65,6.11,0.42,14.59
2023,5,8,12,128.13,25.32,5.68,0.37,14.77
2023,5,8,13,127.75,25.48,5.47,0.29,14.77
2023,5,8,14,128.65,25.33,5.39,0.21,14.77
2023,5,8,15,131.86,24.55,5.44,0.11,14.77
2023,5,8,16,136.7,23.34,5.57,0.08,15.08
2023,5,8,17,139.93,21.08,6.1,0.15,15.2
2023,5,8,18,138.0,20.19,6.97,0.26,14.83
2023,5,8,19,134.49,19.83,7.4,0.38,14.77
2023,5,8,20,132.29,19.4,7.35,0.55,14.95
2023,5,8,21,133.13,19.03,7.11,0.83,15.08
2023,5,8,22,134.5,18.68,6.28,1.12,14.89
2023,5,8,23,136.4,18.33,6.08,1.14,14.65
2023,5,9,0,136.5,18.04,5.89,1.09,14.4
2023,5,9,1,136.84,17.82,5.68,0.97,14.28
2023,5,9,2,137.49,17.77,5.85,0.89,14.22
2023,5,9,3,139.02,17.71,6.15,0.83,14.22
2023,5,9,4,138.18,17.73,7.36,0.65,14.16
2023,5,9,5,136.55,17.63,7.77,0.52,14.04
2023,5,9,6,135.97,17.97,7.54,0.47,14.16
2023,5,9,7,135.28,18.73,8.89,0.41,14.16
2023,5,9,8,134.82,20.21,9.04,0.42,14.1
2023,5,9,9,133.25,21.87,8.52,0.39,13.98
2023,5,9,10,132.05,23.28,7.95,0.34,14.1
2023,5,9,11,131.94,24.1,7.45,0.25,14.28
2023,5,9,12,132.48,24.62,7.15,0.16,14.34
2023,5,9,13,132.85,24.7,7.05,0.17,14.28
2023,5,9,14,133.11,24.54,7.05,0.16,14.34
2023,5,9,15,134.2,23.95,7.12,0.12,14.34
2023,5,9,16,136.0,22.79,6.95,0.06,14.59
2023,5,9,17,138.0,20.67,7.08,0.11,14.59
2023,5,9,18,138.14,19.89,7.35,0.14,14.34
2023,5,9,19,136.66,19.42,7.24,0.14,14.28
2023,5,9,20,134.95,18.93,6.67,0.24,14.4
2023,5,9,21,134.05,18.51,6.35,0.31,14.47
2023,5,9,22,133.81,18.23,6.11,0.38,14.47
2023,5,9,23,132.43,17.98,5.8,0.5,14.28
