-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2014 through 02/26/2014 
Location: Latitude  -37.8639   Longitude 145.154 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2014,1,1,10,11.56,17.71
2014,1,1,11,12.22,14.28
2014,1,1,12,12.57,353.33
2014,1,1,13,14.53,336.41
2014,1,1,14,17.29,326.8
2014,1,1,15,17.99,318.89
2014,1,1,16,15.52,308.93
2014,1,1,17,12.5,293.3
2014,1,1,18,9.3,282.52
2014,1,1,19,7.6,272.77
2014,1,1,20,7.73,258.75
2014,1,1,21,8.49,251.31
2014,1,1,22,8.1,251.04
2014,1,1,23,8.29,250.85
2014,1,2,0,8.76,249.59
2014,1,2,1,8.04,250.9
2014,1,2,2,7.18,251.68
2014,1,2,3,7.07,250.9
2014,1,2,4,7.01,246.98
2014,1,2,5,6.79,241.93
2014,1,2,6,6.73,233.4
2014,1,2,7,6.83,226.48
2014,1,2,8,6.47,222.36
2014,1,2,9,6.1,226.56
2014,1,2,10,5.54,226.09
2014,1,2,11,5.26,218.37
2014,1,2,12,5.37,210.71
2014,1,2,13,5.17,204.01
2014,1,2,14,4.97,197.67
2014,1,2,15,4.81,192.77
2014,1,2,16,4.73,185.78
2014,1,2,17,4.57,175.89
2014,1,2,18,4.3,169.63
2014,1,2,19,4.05,171.01
2014,1,2,20,3.92,169.21
2014,1,2,21,4.07,167.24
2014,1,2,22,4.08,169.64
2014,1,2,23,3.78,174.55
2014,1,3,0,3.25,174.76
2014,1,3,1,2.53,165.71
2014,1,3,2,2.22,159.84
2014,1,3,3,2.17,151.59
2014,1,3,4,2.19,146.2
2014,1,3,5,1.91,148.92
2014,1,3,6,1.41,161.26
2014,1,3,7,1.06,157.57
2014,1,3,8,0.34,158.68
2014,1,3,9,1.27,280.97
2014,1,3,10,3.13,268.86
2014,1,3,11,5.0,253.29
2014,1,3,12,6.66,240.1
2014,1,3,13,7.46,233.13
2014,1,3,14,7.72,228.4
2014,1,3,15,7.85,228.27
2014,1,3,16,7.64,229.98
2014,1,3,17,7.25,230.73
2014,1,3,18,6.84,230.84
2014,1,3,19,6.42,233.85
2014,1,3,20,7.03,241.61
2014,1,3,21,8.48,248.31
2014,1,3,22,9.67,252.71
2014,1,3,23,9.09,257.84
2014,1,4,0,8.47,264.76
2014,1,4,1,8.82,267.11
2014,1,4,2,9.12,266.27
2014,1,4,3,9.1,265.82
2014,1,4,4,9.07,267.88
2014,1,4,5,9.05,272.97
2014,1,4,6,9.07,276.53
2014,1,4,7,9.53,271.6
2014,1,4,8,9.62,265.29
2014,1,4,9,9.47,261.6
2014,1,4,10,9.23,260.06
2014,1,4,11,9.09,259.11
2014,1,4,12,9.04,256.77
2014,1,4,13,9.18,253.43
2014,1,4,14,9.11,249.25
2014,1,4,15,8.7,244.75
2014,1,4,16,8.16,239.87
2014,1,4,17,7.95,235.81
2014,1,4,18,7.66,232.37
2014,1,4,19,6.88,228.91
2014,1,4,20,6.36,230.74
2014,1,4,21,6.11,238.81
2014,1,4,22,5.97,248.44
2014,1,4,23,5.72,258.26
2014,1,5,0,5.35,268.41
2014,1,5,1,4.9,279.64
2014,1,5,2,4.62,293.53
2014,1,5,3,4.64,309.81
2014,1,5,4,5.12,324.69
2014,1,5,5,5.77,334.06
2014,1,5,6,5.65,334.11
2014,1,5,7,7.02,328.24
2014,1,5,8,8.35,327.38
2014,1,5,9,9.77,324.86
2014,1,5,10,11.29,319.54
2014,1,5,11,12.78,315.15
2014,1,5,12,14.04,311.52
2014,1,5,13,14.91,308.68
2014,1,5,14,15.35,304.85
2014,1,5,15,15.48,289.58
2014,1,5,16,14.72,265.22
2014,1,5,17,11.71,260.78
2014,1,5,18,10.34,262.67
2014,1,5,19,10.05,262.5
2014,1,5,20,11.2,265.04
2014,1,5,21,11.78,270.34
2014,1,5,22,11.97,272.77
2014,1,5,23,12.2,270.66
2014,1,6,0,12.02,265.98
2014,1,6,1,11.58,261.35
2014,1,6,2,10.93,259.79
2014,1,6,3,10.4,259.96
2014,1,6,4,9.78,260.44
2014,1,6,5,9.54,258.52
2014,1,6,6,10.34,252.22
2014,1,6,7,11.25,244.93
2014,1,6,8,11.41,240.01
2014,1,6,9,11.26,235.91
2014,1,6,10,11.24,233.25
2014,1,6,11,11.2,231.37
2014,1,6,12,11.08,228.83
2014,1,6,13,10.93,224.02
2014,1,6,14,10.97,218.67
2014,1,6,15,11.01,214.77
2014,1,6,16,10.97,212.78
2014,1,6,17,10.7,211.6
2014,1,6,18,10.18,210.19
2014,1,6,19,9.62,208.73
2014,1,6,20,9.38,207.65
2014,1,6,21,9.41,205.57
2014,1,6,22,9.29,202.45
2014,1,6,23,8.85,199.12
2014,1,7,0,8.65,195.77
2014,1,7,1,8.68,193.42
2014,1,7,2,8.62,192.4
2014,1,7,3,8.36,191.15
2014,1,7,4,7.89,189.41
2014,1,7,5,7.52,186.26
2014,1,7,6,7.54,182.14
2014,1,7,7,7.45,178.92
2014,1,7,8,7.17,177.44
2014,1,7,9,7.12,177.93
2014,1,7,10,7.14,177.93
2014,1,7,11,7.3,177.48
2014,1,7,12,7.53,177.15
2014,1,7,13,7.71,177.44
2014,1,7,14,7.94,177.24
2014,1,7,15,8.25,175.82
2014,1,7,16,8.48,173.39
2014,1,7,17,8.57,169.87
2014,1,7,18,8.51,165.48
2014,1,7,19,8.22,160.98
2014,1,7,20,7.89,155.54
2014,1,7,21,7.58,148.75
2014,1,7,22,7.34,140.79
2014,1,7,23,7.17,133.15
2014,1,8,0,7.03,128.05
2014,1,8,1,7.02,127.95
2014,1,8,2,7.05,127.98
2014,1,8,3,6.95,124.69
2014,1,8,4,6.66,120.6
2014,1,8,5,6.31,115.58
2014,1,8,6,5.9,105.29
2014,1,8,7,5.55,94.28
2014,1,8,8,4.39,82.43
2014,1,8,9,3.13,77.74
2014,1,8,10,2.12,86.83
2014,1,8,11,1.54,117.08
2014,1,8,12,2.04,155.59
